Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Fully_Equipped_Kitchen,Province,Municipality,Price_Group,Price_Group_Per_Region
260000.0,4400,HOUSE,HOUSE,AS_NEW,3.0,False,Luik,Mons-Lez-Liège,200000-350000,Luik_200000-350000
599000.0,9860,HOUSE,HOUSE,GOOD,4.0,False,Oost-Vlaanderen,Scheldewindeke,550000-750000,Oost-Vlaanderen_550000-750000
475000.0,2990,HOUSE,HOUSE,GOOD,3.0,True,Antwerpen,Wuustwezel,350000-550000,Antwerpen_350000-550000
349995.0,2627,APARTMENT,APARTMENT,AS_NEW,3.0,False,Antwerpen,Schelle,200000-350000,Antwerpen_200000-350000
825000.0,8670,APARTMENT,APARTMENT,GOOD,3.0,False,West-Vlaanderen,Wulpen,750000-950000,West-Vlaanderen_750000-950000
835000.0,9688,HOUSE,HOUSE,JUST_RENOVATED,2.0,False,Oost-Vlaanderen,Schorisse,750000-950000,Oost-Vlaanderen_750000-950000
520000.0,9300,APARTMENT,APARTMENT,GOOD,4.0,False,Oost-Vlaanderen,Aalst,350000-550000,Oost-Vlaanderen_350000-550000
429000.0,1800,HOUSE,MANSION,JUST_RENOVATED,4.0,False,Vlaams-Brabant,Vilvoorde,350000-550000,Vlaams-Brabant_350000-550000
479000.0,8830,APARTMENT,APARTMENT,GOOD,3.0,False,West-Vlaanderen,Hooglede,350000-550000,West-Vlaanderen_350000-550000
395000.0,9310,HOUSE,BUNGALOW,GOOD,3.0,False,Oost-Vlaanderen,Moorsel,350000-550000,Oost-Vlaanderen_350000-550000
275000.0,1420,HOUSE,HOUSE,TO_RENOVATE,4.0,False,Waals-Brabant,Braine-l'alleud,200000-350000,Waals-Brabant_200000-350000
209900.0,9500,HOUSE,HOUSE,GOOD,3.0,False,Oost-Vlaanderen,Zarlardinge,200000-350000,Oost-Vlaanderen_200000-350000
839000.0,8301,APARTMENT,APARTMENT,GOOD,3.0,False,West-Vlaanderen,Ramskapelle,750000-950000,West-Vlaanderen_750000-950000
475000.0,1000,APARTMENT,GROUND_FLOOR,GOOD,2.0,False,Brussel,Brussel,350000-550000,Brussel_350000-550000
344000.0,2660,HOUSE,HOUSE,GOOD,2.0,False,Antwerpen,Hoboken,200000-350000,Antwerpen_200000-350000
525000.0,1820,HOUSE,HOUSE,GOOD,4.0,True,Vlaams-Brabant,Steenokkerzeel,350000-550000,Vlaams-Brabant_350000-550000
479000.0,9000,APARTMENT,PENTHOUSE,AS_NEW,3.0,False,Oost-Vlaanderen,Gent,350000-550000,Oost-Vlaanderen_350000-550000
369000.0,9050,HOUSE,HOUSE,AS_NEW,3.0,False,Oost-Vlaanderen,Ledeberg,350000-550000,Oost-Vlaanderen_350000-550000
225000.0,8370,APARTMENT,APARTMENT,AS_NEW,2.0,False,West-Vlaanderen,Uitkerke,200000-350000,West-Vlaanderen_200000-350000
598000.0,1150,HOUSE,HOUSE,GOOD,3.0,False,Brussel,Sint-pieters-woluwe,550000-750000,Brussel_550000-750000
209000.0,1140,APARTMENT,APARTMENT,TO_RESTORE,2.0,False,Brussel,Evere,200000-350000,Brussel_200000-350000
405750.0,9700,HOUSE,HOUSE,GOOD,3.0,False,Oost-Vlaanderen,Welden,350000-550000,Oost-Vlaanderen_350000-550000
495000.0,1180,APARTMENT,APARTMENT,GOOD,3.0,True,Brussel,Ukkel,350000-550000,Brussel_350000-550000
219000.0,4620,HOUSE,MIXED_USE_BUILDING,GOOD,2.0,False,Luik,Fléron,200000-350000,Luik_200000-350000
299000.0,9900,HOUSE,HOUSE,GOOD,4.0,False,Oost-Vlaanderen,Eeklo,200000-350000,Oost-Vlaanderen_200000-350000
585000.0,1030,HOUSE,APARTMENT_BLOCK,GOOD,4.0,False,Brussel,Schaarbeek,550000-750000,Brussel_550000-750000
239900.0,2140,HOUSE,HOUSE,TO_RENOVATE,2.0,False,Antwerpen,Borgerhout,200000-350000,Antwerpen_200000-350000
365000.0,3520,HOUSE,HOUSE,GOOD,3.0,False,Limburg,Zonhoven,350000-550000,Limburg_350000-550000
230000.0,4700,HOUSE,APARTMENT_BLOCK,JUST_RENOVATED,2.0,False,Luik,Eupen,200000-350000,Luik_200000-350000
585000.0,2600,HOUSE,APARTMENT_BLOCK,JUST_RENOVATED,4.0,False,Antwerpen,Berchem,550000-750000,Antwerpen_550000-750000
285000.0,3890,HOUSE,HOUSE,GOOD,3.0,False,Limburg,Vorsen,200000-350000,Limburg_200000-350000
239000.0,7860,APARTMENT,APARTMENT,JUST_RENOVATED,3.0,False,Henegouwen,Lessines,200000-350000,Henegouwen_200000-350000
415000.0,2300,APARTMENT,APARTMENT,GOOD,2.0,False,Antwerpen,Turnhout,350000-550000,Antwerpen_350000-550000
150000.0,8670,APARTMENT,APARTMENT,GOOD,1.0,True,West-Vlaanderen,Wulpen,100000-200000,West-Vlaanderen_100000-200000
339000.0,9750,HOUSE,HOUSE,GOOD,3.0,True,Oost-Vlaanderen,Zingem,200000-350000,Oost-Vlaanderen_200000-350000
299000.0,9000,HOUSE,HOUSE,TO_RENOVATE,3.0,False,Oost-Vlaanderen,Gent,200000-350000,Oost-Vlaanderen_200000-350000
185000.0,2100,APARTMENT,APARTMENT,GOOD,2.0,False,Antwerpen,Deurne,100000-200000,Antwerpen_100000-200000
249000.0,2300,HOUSE,HOUSE,GOOD,2.0,False,Antwerpen,Turnhout,200000-350000,Antwerpen_200000-350000
199000.0,4040,HOUSE,HOUSE,GOOD,3.0,False,Luik,Herstal,100000-200000,Luik_100000-200000
258150.0,3600,APARTMENT,APARTMENT,GOOD,2.0,False,Limburg,Genk,200000-350000,Limburg_200000-350000
