Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift,Municipality,Province
299000,9300,APARTMENT,APARTMENT,GOOD,2,116.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Aalst,East Flanders
270000,1030,APARTMENT,APARTMENT,GOOD,2,85.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Schaerbeek,Brussels Capital
189000,8434,HOUSE,HOUSE,JUST_RENOVATED,3,78.0,0,1.0,0.0,0.0,3.0,0.0,0.0,Middelkerke,Other
265000,2300,APARTMENT,GROUND_FLOOR,AS_NEW,2,91.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Turnhout,Antwerp
498500,2550,HOUSE,HOUSE,GOOD,3,203.0,0,1.0,0.0,316.0,3.0,0.0,0.0,Kontich,Antwerp
240000,6600,APARTMENT,APARTMENT,GOOD,2,110.0,0,0.0,0.0,0.0,3.0,0.0,1.0,Bastogne,Luxembourg
335000,1150,APARTMENT,APARTMENT,AS_NEW,2,70.0,0,1.0,0.0,0.0,2.0,0.0,0.0,Woluwe-Saint-Pierre,Brussels Capital
235000,3560,HOUSE,MIXED_USE_BUILDING,TO_RENOVATE,2,127.0,0,0.0,0.0,82.0,2.0,0.0,0.0,Lummen,Limburg
560000,3000,APARTMENT,APARTMENT,AS_NEW,3,100.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Leuven,Flemish Brabant
289900,2140,APARTMENT,TRIPLEX,GOOD,3,174.0,0,1.0,0.0,0.0,2.0,0.0,0.0,Antwerpen,Antwerp
275000,1140,APARTMENT,FLAT_STUDIO,AS_NEW,1,44.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Evere,Brussels Capital
154500,8570,APARTMENT,APARTMENT,GOOD,1,60.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Anzegem,Other
