Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_Land,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Disabled_Access,Lift,province,Municipality
429000.0,8400,HOUSE,HOUSE,TO_BE_DONE_UP,4.0,170.0,False,0.0,,,,,,,530.0,4.0,0.0,0.0,0.0,West-Vlaanderen,Zandvoorde
335000.0,1200,APARTMENT,APARTMENT,GOOD,2.0,99.0,False,0.0,,1.0,,,,,,,0.0,0.0,1.0,Brussel,Sint-lambrechts-woluwe
247000.0,8620,APARTMENT,SERVICE_FLAT,GOOD,1.0,58.0,False,1.0,,1.0,,,,,,,,,,West-Vlaanderen,Sint-Joris
344000.0,2870,HOUSE,VILLA,TO_RENOVATE,4.0,226.0,False,,,1.0,,,,,1096.0,4.0,,,,Antwerpen,Ruisbroek
2465000.0,8300,HOUSE,HOUSE,AS_NEW,5.0,333.0,False,,,,,,,,570.0,4.0,,0.0,0.0,West-Vlaanderen,Westkapelle
395000.0,9000,APARTMENT,APARTMENT,TO_BE_DONE_UP,2.0,84.0,False,0.0,,,,,,,,,,,1.0,Oost-Vlaanderen,Gent
129000.0,4340,HOUSE,HOUSE,,3.0,109.0,False,0.0,,,,1.0,965.0,965.0,1120.0,3.0,0.0,0.0,0.0,Luik,Villers-L'Evêque
895000.0,8620,APARTMENT,APARTMENT,GOOD,3.0,131.0,True,,,1.0,,,,,,,,,1.0,West-Vlaanderen,Sint-Joris
225000.0,9000,APARTMENT,KOT,,1.0,35.0,False,,,,,,,,,2.0,,,1.0,Oost-Vlaanderen,Gent
228000.0,9000,HOUSE,HOUSE,TO_BE_DONE_UP,2.0,67.0,False,,,,,,,,36.0,2.0,,,,Oost-Vlaanderen,Gent
539000.0,2900,HOUSE,HOUSE,GOOD,3.0,281.0,False,0.0,,1.0,,,,,326.0,,,0.0,,Antwerpen,Schoten
330000.0,2300,HOUSE,HOUSE,AS_NEW,2.0,108.0,False,,,1.0,15.0,,,,2057.0,,,,1.0,Antwerpen,Turnhout
375000.0,1050,APARTMENT,APARTMENT,AS_NEW,1.0,80.0,True,0.0,,1.0,6.0,,,,,2.0,0.0,1.0,1.0,Brussel,Elsene
440000.0,1160,APARTMENT,GROUND_FLOOR,AS_NEW,1.0,73.0,True,0.0,,1.0,14.0,1.0,28.0,28.0,,,0.0,1.0,1.0,Brussel,Oudergem
345000.0,1140,APARTMENT,APARTMENT,AS_NEW,1.0,89.0,True,1.0,,,,,,,,2.0,0.0,1.0,1.0,Brussel,Evere
530000.0,1461,HOUSE,HOUSE,TO_BE_DONE_UP,4.0,220.0,False,,1.0,,,,,,1000.0,4.0,,,,Waals-Brabant,Haut-Ittre
85000.0,7340,HOUSE,HOUSE,TO_BE_DONE_UP,3.0,100.0,False,0.0,,,,,,,0.0,2.0,,0.0,,Henegouwen,Wasmes
,9100,APARTMENT_GROUP,APARTMENT_GROUP,,,,False,,,,,,,,,,,,,Oost-Vlaanderen,Sint-niklaas
280000.0,1200,APARTMENT,APARTMENT,TO_RENOVATE,2.0,84.0,False,0.0,,1.0,7.0,,,,,2.0,0.0,,1.0,Brussel,Sint-lambrechts-woluwe
625000.0,1150,APARTMENT,APARTMENT,AS_NEW,4.0,155.0,True,0.0,,1.0,15.0,,,,,3.0,0.0,1.0,1.0,Brussel,Sint-pieters-woluwe
390000.0,2800,HOUSE,HOUSE,GOOD,3.0,166.0,False,,,,,,,,114.0,2.0,,,,Antwerpen,Walem
180000.0,7972,HOUSE,HOUSE,GOOD,2.0,186.0,False,0.0,,,,,,,908.0,2.0,0.0,0.0,0.0,Henegouwen,Quevaucamps
249000.0,4000,HOUSE,HOUSE,GOOD,4.0,252.0,False,0.0,,1.0,,1.0,85.0,85.0,187.0,2.0,0.0,0.0,0.0,Luik,Rocourt
400000.0,4210,HOUSE,HOUSE,GOOD,4.0,185.0,True,0.0,,1.0,40.0,1.0,406.0,406.0,669.0,4.0,0.0,0.0,0.0,Luik,Oteppe
239000.0,8820,HOUSE,BUNGALOW,TO_RENOVATE,3.0,170.0,False,,,,,1.0,630.0,630.0,800.0,1.0,,0.0,0.0,West-Vlaanderen,Torhout
325000.0,9255,HOUSE,HOUSE,TO_RENOVATE,0.0,105.0,False,0.0,,,,,,,785.0,,,0.0,,Oost-Vlaanderen,Opdorp
449000.0,8470,HOUSE,HOUSE,GOOD,4.0,174.0,False,0.0,,1.0,15.0,,,,4048.0,,,,,West-Vlaanderen,Zevekote
245000.0,9120,APARTMENT,APARTMENT,GOOD,2.0,101.0,False,0.0,,1.0,,,,,,2.0,0.0,1.0,1.0,Oost-Vlaanderen,Vrasene
595000.0,1342,HOUSE,HOUSE,TO_BE_DONE_UP,3.0,190.0,False,0.0,,1.0,50.0,1.0,1461.0,1461.0,1461.0,4.0,0.0,,0.0,Waals-Brabant,Limelette
375000.0,2800,APARTMENT,APARTMENT,GOOD,2.0,97.0,False,,,1.0,7.0,,,,,2.0,,,1.0,Antwerpen,Walem
339000.0,3800,HOUSE,HOUSE,GOOD,3.0,212.0,False,,,,,,,,742.0,,,,,Limburg,Zepperen
649000.0,6700,HOUSE,EXCEPTIONAL_PROPERTY,AS_NEW,6.0,204.0,True,,,1.0,,1.0,439.0,439.0,554.0,3.0,,,,Luxemburg,Toernich
565000.0,1330,HOUSE,HOUSE,AS_NEW,3.0,175.0,True,0.0,1.0,1.0,20.0,1.0,525.0,525.0,525.0,4.0,0.0,0.0,0.0,Waals-Brabant,Rixensart
269000.0,6927,HOUSE,HOUSE,TO_BE_DONE_UP,4.0,145.0,False,,,1.0,30.0,1.0,1526.0,1526.0,0.0,4.0,,,,Luxemburg,Tellin
,2580,HOUSE_GROUP,HOUSE_GROUP,,,,False,,,,,,,,,,,,,Antwerpen,Putte
180000.0,9300,APARTMENT,APARTMENT,,2.0,64.0,False,0.0,,,,,,,,2.0,0.0,0.0,0.0,Oost-Vlaanderen,Aalst
195000.0,2018,APARTMENT,APARTMENT,TO_RENOVATE,1.0,70.0,False,,,,,,,,,,,,1.0,Antwerpen,Antwerpen
799000.0,8300,APARTMENT,APARTMENT,,3.0,124.0,False,0.0,,1.0,,,,,,,,,1.0,West-Vlaanderen,Westkapelle
329000.0,3800,HOUSE,HOUSE,,3.0,218.0,False,0.0,,,,,,,883.0,,,,,Limburg,Zepperen
209000.0,8500,APARTMENT,APARTMENT,GOOD,1.0,86.0,False,,,,,,,,,,,,,West-Vlaanderen,Kortrijk
599000.0,9988,HOUSE,HOUSE,AS_NEW,4.0,289.0,False,,,,,,,,2624.0,4.0,,0.0,0.0,Oost-Vlaanderen,Watervliet
268700.0,9990,APARTMENT,APARTMENT,AS_NEW,2.0,94.0,False,,,,,,,,,2.0,0.0,0.0,1.0,Oost-Vlaanderen,Maldegem
750000.0,8300,HOUSE,HOUSE,TO_RESTORE,4.0,128.0,False,0.0,,,,,,,77.0,2.0,0.0,0.0,0.0,West-Vlaanderen,Westkapelle
260000.0,7070,HOUSE,HOUSE,GOOD,4.0,207.0,False,0.0,,1.0,,,,,5850.0,4.0,,0.0,0.0,Henegouwen,Ville-Sur-Haine
,8400,APARTMENT_GROUP,APARTMENT_GROUP,,,,False,,,,,,,,,,,,,West-Vlaanderen,Zandvoorde
299000.0,9290,HOUSE,HOUSE,TO_RENOVATE,5.0,190.0,False,,,,,,,,661.0,,,,,Oost-Vlaanderen,Uitbergen
69000.0,6044,HOUSE,HOUSE,TO_RENOVATE,4.0,118.0,False,,,,,1.0,220.0,220.0,330.0,2.0,,,,Henegouwen,Roux
199500.0,9620,HOUSE,HOUSE,GOOD,3.0,156.0,False,,,1.0,6.0,1.0,38.0,38.0,120.0,2.0,,1.0,0.0,Oost-Vlaanderen,Zottegem
