Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift,Municipality,Province,Region
329000,2018,APARTMENT,APARTMENT,GOOD,2,105.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp,Flanders
219000,1800,APARTMENT,DUPLEX,GOOD,2,80.0,0,0.0,0.0,0.0,2.0,0.0,0.0,Vilvoorde,Flemish Brabant,Flanders
249000,2550,APARTMENT,APARTMENT,JUST_RENOVATED,2,70.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Kontich,Antwerp,Flanders
449000,2830,HOUSE,HOUSE,GOOD,3,185.0,0,0.0,0.0,141.0,2.0,0.0,0.0,Willebroek,Antwerp,Flanders
215000,6200,HOUSE,HOUSE,GOOD,3,93.0,0,1.0,1.0,171.0,3.0,0.0,0.0,Châtelet,Hainaut,Wallonia
319000,2060,APARTMENT,APARTMENT,AS_NEW,2,91.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp,Flanders
249000,9040,HOUSE,HOUSE,TO_RENOVATE,4,132.0,0,0.0,0.0,70.0,2.0,0.0,0.0,Gent,East Flanders,Flanders
225000,4400,APARTMENT,APARTMENT,GOOD,2,72.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Flémalle,Liège,Wallonia
235000,7060,APARTMENT,APARTMENT,GOOD,2,90.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Soignies,Hainaut,Wallonia
468990,8800,APARTMENT,APARTMENT,GOOD,3,123.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Roeselare,Other,Other
225000,2300,APARTMENT,SERVICE_FLAT,GOOD,1,63.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Turnhout,Antwerp,Flanders
295000,2600,APARTMENT,APARTMENT,JUST_RENOVATED,4,105.0,0,0.0,0.0,0.0,3.0,0.0,1.0,Antwerpen,Antwerp,Flanders
215000,8430,APARTMENT,APARTMENT,GOOD,2,82.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Middelkerke,Other,Other
325000,8930,HOUSE,TOWN_HOUSE,TO_RENOVATE,3,217.0,0,1.0,1.0,445.0,4.0,0.0,0.0,Menen,Other,Other
249500,4500,HOUSE,HOUSE,GOOD,2,125.0,0,1.0,0.0,69.0,3.0,0.0,0.0,Huy,Liège,Wallonia
359000,2170,HOUSE,HOUSE,TO_BE_DONE_UP,4,163.0,0,0.0,1.0,208.0,2.0,0.0,0.0,Antwerpen,Antwerp,Flanders
389000,5001,HOUSE,HOUSE,GOOD,4,287.0,0,1.0,1.0,578.0,4.0,0.0,0.0,Namur,Namur,Wallonia
364000,1190,APARTMENT,APARTMENT,AS_NEW,3,120.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Forest,Brussels Capital,Bruxelles-Capital
300000,1190,APARTMENT,PENTHOUSE,AS_NEW,3,100.0,0,0.0,0.0,0.0,2.0,0.0,0.0,Forest,Brussels Capital,Bruxelles-Capital
299000,4520,APARTMENT,APARTMENT,GOOD,2,102.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Wanze,Liège,Wallonia
199000,8560,HOUSE,HOUSE,JUST_RENOVATED,3,155.0,0,1.0,0.0,151.0,3.0,0.0,0.0,Wevelgem,Other,Other
110000,6061,HOUSE,HOUSE,TO_RENOVATE,2,135.0,0,1.0,0.0,260.0,3.0,0.0,0.0,Charleroi,Hainaut,Wallonia
645000,8300,APARTMENT,APARTMENT,GOOD,3,87.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Knokke-Heist,Other,Other
250000,4500,APARTMENT,GROUND_FLOOR,AS_NEW,2,87.0,0,1.0,1.0,0.0,2.0,0.0,1.0,Huy,Liège,Wallonia
375000,9260,HOUSE,EXCEPTIONAL_PROPERTY,GOOD,4,282.0,1,1.0,0.0,276.0,4.0,0.0,0.0,Wichelen,East Flanders,Flanders
299000,1020,APARTMENT,APARTMENT,GOOD,2,106.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Bruxelles,Brussels Capital,Bruxelles-Capital
278000,2610,APARTMENT,APARTMENT,GOOD,2,90.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp,Flanders
235000,8620,APARTMENT,FLAT_STUDIO,GOOD,1,36.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Nieuwpoort,Other,Other
499000,8500,HOUSE,VILLA,AS_NEW,4,218.0,0,1.0,0.0,414.0,4.0,0.0,0.0,Kortrijk,Other,Other
450000,9800,HOUSE,VILLA,AS_NEW,3,132.0,1,1.0,0.0,419.0,4.0,0.0,0.0,Deinze,East Flanders,Flanders
495000,9600,APARTMENT,APARTMENT,GOOD,4,90.0,0,1.0,0.0,0.0,4.0,0.0,1.0,Renaix,East Flanders,Flanders
398000,2018,APARTMENT,APARTMENT,JUST_RENOVATED,2,125.0,1,1.0,0.0,0.0,3.0,0.0,1.0,Antwerpen,Antwerp,Flanders
128000,7160,HOUSE,HOUSE,GOOD,2,98.0,0,0.0,1.0,0.0,2.0,0.0,0.0,Chapelle-lez-Herlaimont,Hainaut,Wallonia
240000,2500,APARTMENT,GROUND_FLOOR,GOOD,2,94.0,0,1.0,1.0,0.0,2.0,0.0,1.0,Lier,Antwerp,Flanders
595000,8200,HOUSE,HOUSE,AS_NEW,3,170.0,0,1.0,1.0,426.0,3.0,0.0,0.0,Brugge,Other,Other
199000,8370,APARTMENT,APARTMENT,AS_NEW,1,58.0,0,1.0,0.0,0.0,2.0,0.0,0.0,Blankenberge,Other,Other
349000,2930,APARTMENT,APARTMENT,JUST_RENOVATED,2,100.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Brasschaat,Antwerp,Flanders
465000,9660,HOUSE,HOUSE,AS_NEW,3,194.0,1,1.0,0.0,579.0,3.0,0.0,0.0,Brakel,East Flanders,Flanders
249000,8310,APARTMENT,APARTMENT,AS_NEW,2,75.0,0,1.0,0.0,0.0,2.0,0.0,0.0,Brugge,Other,Other
