Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift
373000,3140,APARTMENT,APARTMENT,GOOD,2,80.0,0,1.0,0.0,0.0,2.0,0.0,1.0
295000,1200,APARTMENT,APARTMENT,GOOD,3,107.0,0,1.0,0.0,0.0,2.0,0.0,1.0
545000,2900,APARTMENT,DUPLEX,GOOD,3,225.0,0,1.0,0.0,0.0,4.0,0.0,1.0
179000,6940,APARTMENT,APARTMENT,GOOD,3,118.0,0,0.0,0.0,0.0,2.0,0.0,0.0
310000,5022,HOUSE,HOUSE,JUST_RENOVATED,3,158.0,0,1.0,0.0,0.0,3.0,0.0,0.0
575000,8430,APARTMENT,APARTMENT,GOOD,2,79.0,0,1.0,0.0,0.0,2.0,0.0,1.0
449500,2381,HOUSE,HOUSE,AS_NEW,4,136.0,0,1.0,0.0,209.0,3.0,0.0,0.0
249000,2610,APARTMENT,APARTMENT,GOOD,2,99.0,0,1.0,0.0,0.0,2.0,0.0,1.0
269000,1200,APARTMENT,APARTMENT,GOOD,1,62.0,0,0.0,0.0,0.0,2.0,0.0,1.0
325000,2610,APARTMENT,APARTMENT,GOOD,3,108.0,0,1.0,0.0,0.0,2.0,0.0,1.0
115000,4800,APARTMENT,APARTMENT,GOOD,1,77.0,0,0.0,0.0,0.0,2.0,0.0,0.0
335000,9700,HOUSE,HOUSE,GOOD,4,196.0,0,1.0,0.0,381.0,2.0,0.0,0.0
179000,9820,APARTMENT,GROUND_FLOOR,GOOD,1,56.0,0,0.0,0.0,0.0,2.0,0.0,0.0
449000,2630,APARTMENT,DUPLEX,GOOD,2,161.0,0,1.0,0.0,0.0,2.0,0.0,0.0
199000,8810,APARTMENT,APARTMENT,AS_NEW,1,87.0,0,0.0,0.0,0.0,3.0,0.0,0.0
235000,8660,APARTMENT,APARTMENT,GOOD,2,79.0,0,1.0,0.0,0.0,2.0,0.0,0.0
295000,1650,HOUSE,HOUSE,TO_BE_DONE_UP,3,188.0,0,1.0,0.0,165.0,2.0,0.0,0.0
650000,8300,APARTMENT,APARTMENT,GOOD,2,87.0,0,1.0,0.0,0.0,2.0,0.0,1.0
265000,8420,APARTMENT,APARTMENT,TO_BE_DONE_UP,2,73.0,0,0.0,0.0,0.0,2.0,0.0,1.0
465000,2018,HOUSE,HOUSE,GOOD,3,150.0,0,1.0,0.0,48.0,3.0,0.0,0.0
209000,2620,APARTMENT,APARTMENT,GOOD,2,78.0,0,1.0,0.0,0.0,3.0,0.0,1.0
199000,2100,APARTMENT,APARTMENT,JUST_RENOVATED,2,84.0,0,0.0,0.0,0.0,2.0,0.0,1.0
298000,3000,HOUSE,HOUSE,TO_RENOVATE,4,134.0,0,0.0,0.0,110.0,3.0,0.0,0.0
149000,4000,APARTMENT,APARTMENT,GOOD,2,104.0,0,0.0,0.0,0.0,2.0,0.0,1.0
220000,8670,APARTMENT,APARTMENT,TO_BE_DONE_UP,2,67.0,0,1.0,0.0,0.0,2.0,0.0,1.0
323000,1000,APARTMENT,APARTMENT,GOOD,1,63.0,0,1.0,0.0,0.0,3.0,0.0,1.0
325000,9040,APARTMENT,APARTMENT,AS_NEW,2,126.0,0,0.0,0.0,0.0,2.0,0.0,1.0
319000,2930,HOUSE,HOUSE,GOOD,3,168.0,0,1.0,0.0,300.0,2.0,0.0,0.0
435000,8300,APARTMENT,SERVICE_FLAT,GOOD,1,56.0,0,0.0,0.0,0.0,2.0,0.0,1.0
269000,1400,APARTMENT,APARTMENT,GOOD,2,81.0,0,1.0,0.0,0.0,2.0,0.0,1.0
180000,4100,HOUSE,HOUSE,AS_NEW,1,50.0,0,1.0,0.0,33.0,3.0,0.0,0.0
492000,8500,HOUSE,HOUSE,GOOD,3,159.0,0,1.0,0.0,159.0,2.0,0.0,0.0
195000,9950,HOUSE,HOUSE,GOOD,2,145.0,0,0.0,0.0,115.0,2.0,0.0,0.0
232000,1120,APARTMENT,APARTMENT,GOOD,1,75.0,0,0.0,0.0,0.0,2.0,0.0,1.0
615000,8300,APARTMENT,APARTMENT,GOOD,2,86.0,0,1.0,0.0,0.0,2.0,0.0,1.0
289000,2160,APARTMENT,APARTMENT,GOOD,2,76.0,0,1.0,0.0,0.0,2.0,0.0,1.0
305000,9150,APARTMENT,APARTMENT,GOOD,3,120.0,0,1.0,0.0,0.0,2.0,0.0,1.0
185000,1090,APARTMENT,PENTHOUSE,TO_RENOVATE,2,61.0,0,1.0,0.0,0.0,2.0,0.0,1.0
415000,8420,APARTMENT,APARTMENT,AS_NEW,2,92.0,0,1.0,0.0,0.0,3.0,0.0,1.0
360000,8430,APARTMENT,APARTMENT,GOOD,2,63.0,0,1.0,0.0,0.0,2.0,0.0,1.0
323000,1970,APARTMENT,APARTMENT,GOOD,2,95.0,0,1.0,0.0,0.0,4.0,0.0,1.0
520960,8800,APARTMENT,APARTMENT,GOOD,3,133.0,0,1.0,0.0,0.0,2.0,0.0,1.0
169000,2000,HOUSE,MIXED_USE_BUILDING,TO_BE_DONE_UP,1,57.0,0,0.0,0.0,80.0,2.0,0.0,0.0
299000,9300,APARTMENT,APARTMENT,GOOD,2,111.0,0,1.0,0.0,0.0,2.0,0.0,1.0
175000,1020,APARTMENT,APARTMENT,GOOD,1,50.0,0,0.0,0.0,0.0,3.0,0.0,1.0
229000,1770,APARTMENT,APARTMENT,GOOD,2,72.0,0,0.0,0.0,0.0,2.0,0.0,0.0
260000,6600,APARTMENT,APARTMENT,GOOD,2,98.0,0,0.0,0.0,0.0,3.0,0.0,1.0
138000,6200,HOUSE,HOUSE,TO_BE_DONE_UP,3,98.0,0,0.0,0.0,340.0,3.0,0.0,0.0
265000,9000,APARTMENT,APARTMENT,GOOD,2,84.0,0,1.0,0.0,0.0,2.0,0.0,1.0
320000,2200,APARTMENT,APARTMENT,JUST_RENOVATED,2,103.0,0,1.0,0.0,0.0,3.0,0.0,1.0
189000,4020,APARTMENT,APARTMENT,GOOD,2,74.0,0,1.0,0.0,0.0,2.0,0.0,1.0
289000,9000,HOUSE,HOUSE,JUST_RENOVATED,2,102.0,0,0.0,0.0,46.0,3.0,0.0,0.0
270000,1200,APARTMENT,APARTMENT,GOOD,1,67.0,0,1.0,0.0,0.0,2.0,0.0,1.0
299000,8380,APARTMENT,APARTMENT,GOOD,3,89.0,0,1.0,0.0,0.0,2.0,0.0,1.0
147000,6791,APARTMENT,APARTMENT,GOOD,2,63.0,0,0.0,0.0,0.0,2.0,0.0,0.0
428000,9040,HOUSE,HOUSE,TO_BE_DONE_UP,4,185.0,0,1.0,0.0,170.0,3.0,0.0,0.0
255000,8620,APARTMENT,APARTMENT,GOOD,2,55.0,0,1.0,0.0,0.0,2.0,0.0,1.0
349000,2275,APARTMENT,APARTMENT,GOOD,3,125.0,0,1.0,0.0,0.0,4.0,0.0,1.0
376200,2430,HOUSE,HOUSE,GOOD,3,162.0,0,1.0,0.0,460.0,4.0,0.0,0.0
210000,9200,APARTMENT,APARTMENT,GOOD,2,85.0,0,1.0,0.0,0.0,2.0,0.0,1.0
179000,2020,APARTMENT,APARTMENT,TO_BE_DONE_UP,1,78.0,0,0.0,0.0,0.0,3.0,0.0,1.0
450000,1000,APARTMENT,APARTMENT,AS_NEW,2,142.0,0,1.0,0.0,0.0,2.0,0.0,1.0
379000,9900,HOUSE,HOUSE,GOOD,3,117.0,0,0.0,0.0,275.0,3.0,0.0,0.0
260000,9320,HOUSE,HOUSE,TO_BE_DONE_UP,3,172.0,0,1.0,0.0,0.0,3.0,0.0,0.0
395000,8420,HOUSE,HOUSE,TO_BE_DONE_UP,3,170.0,0,1.0,0.0,540.0,3.0,0.0,0.0
229900,2140,APARTMENT,APARTMENT,GOOD,2,88.0,0,1.0,0.0,0.0,2.0,0.0,1.0
265000,2440,APARTMENT,APARTMENT,GOOD,2,99.0,0,0.0,0.0,0.0,3.0,0.0,1.0
225000,8670,APARTMENT,SERVICE_FLAT,AS_NEW,1,67.0,0,1.0,0.0,0.0,2.0,0.0,1.0
235000,1080,APARTMENT,APARTMENT,AS_NEW,1,78.0,0,1.0,0.0,0.0,2.0,0.0,1.0
390000,8630,HOUSE,HOUSE,TO_RENOVATE,3,122.0,0,1.0,0.0,483.0,3.0,0.0,0.0
249000,9050,APARTMENT,APARTMENT,TO_BE_DONE_UP,2,98.0,0,1.0,0.0,0.0,2.0,0.0,1.0
325000,6791,HOUSE,HOUSE,GOOD,3,102.0,0,1.0,0.0,200.0,3.0,0.0,0.0
279000,4600,APARTMENT,APARTMENT,AS_NEW,2,109.0,0,1.0,0.0,0.0,3.0,0.0,0.0
