Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift,Municipality,Province,Region,Property_Size
135000,8370,APARTMENT,APARTMENT,AS_NEW,1,80.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Blankenberge,West Flanders,Flanders,Medium
265000,9050,APARTMENT,APARTMENT,AS_NEW,3,100.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Gent,East Flanders,Flanders,Medium
250000,5300,APARTMENT,APARTMENT,GOOD,2,87.0,0,0.0,0.0,0.0,4.0,0.0,1.0,Andenne,Namur,Wallonia,Medium
120000,7080,HOUSE,HOUSE,TO_BE_DONE_UP,2,102.0,0,1.0,0.0,100.0,2.0,0.0,0.0,Frameries,Hainaut,Wallonia,Large
415000,1050,APARTMENT,APARTMENT,GOOD,2,116.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Ixelles,Brussels Capital,Bruxelles-Capital,Large
195000,2850,HOUSE,HOUSE,TO_RENOVATE,3,146.0,0,1.0,0.0,55.0,2.0,0.0,0.0,Boom,Antwerp,Flanders,Large
289000,3980,APARTMENT,APARTMENT,AS_NEW,2,115.0,0,1.0,1.0,0.0,2.0,0.0,0.0,Tessenderlo,Limburg,Wallonia,Large
275000,8340,HOUSE,HOUSE,GOOD,2,112.0,0,1.0,0.0,281.0,3.0,0.0,0.0,Damme,West Flanders,Flanders,Large
398000,1310,HOUSE,HOUSE,GOOD,3,124.0,1,1.0,1.0,215.0,2.0,0.0,0.0,La Hulpe,Walloon Brabant,Wallonia,Large
195000,8380,APARTMENT,APARTMENT,GOOD,2,89.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Brugge,West Flanders,Flanders,Medium
195000,5590,APARTMENT,GROUND_FLOOR,AS_NEW,2,95.0,0,1.0,0.0,0.0,2.0,0.0,0.0,Ciney,Namur,Wallonia,Medium
225000,2060,HOUSE,HOUSE,TO_RENOVATE,4,165.0,0,0.0,0.0,70.0,2.0,0.0,0.0,Antwerpen,Antwerp,Flanders,Large
263000,6800,APARTMENT,APARTMENT,GOOD,2,76.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Libramont-Chevigny,Luxembourg,Wallonia,Medium
310000,9000,APARTMENT,APARTMENT,TO_BE_DONE_UP,2,143.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Gent,East Flanders,Flanders,Large
545000,8300,HOUSE,HOUSE,GOOD,3,132.0,0,1.0,0.0,155.0,3.0,0.0,0.0,Knokke-Heist,West Flanders,Flanders,Large
195000,7911,HOUSE,HOUSE,GOOD,2,75.0,0,0.0,0.0,364.0,3.0,0.0,0.0,Frasnes-lez-Anvaing,Hainaut,Wallonia,Medium
339000,2900,HOUSE,HOUSE,GOOD,4,169.0,0,1.0,0.0,183.0,2.0,0.0,0.0,Schoten,Antwerp,Flanders,Large
238000,2660,APARTMENT,APARTMENT,GOOD,3,100.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp,Flanders,Medium
374900,9420,HOUSE,HOUSE,GOOD,3,193.0,0,1.0,0.0,525.0,3.0,0.0,0.0,Erpe-Mere,East Flanders,Flanders,Large
160000,7322,HOUSE,HOUSE,GOOD,3,115.0,0,0.0,0.0,634.0,3.0,0.0,0.0,Bernissart,Hainaut,Wallonia,Large
500000,1200,APARTMENT,APARTMENT,AS_NEW,2,94.0,1,1.0,0.0,0.0,3.0,0.0,0.0,Woluwe-Saint-Lambert,Brussels Capital,Bruxelles-Capital,Medium
750000,8300,HOUSE,MIXED_USE_BUILDING,TO_RENOVATE,4,128.0,0,0.0,0.0,77.0,2.0,0.0,0.0,Knokke-Heist,West Flanders,Flanders,Large
268156,8660,HOUSE,HOUSE,GOOD,3,108.0,0,0.0,1.0,120.0,3.0,0.0,0.0,De Panne,West Flanders,Flanders,Large
230000,8840,HOUSE,HOUSE,TO_BE_DONE_UP,3,164.0,0,0.0,0.0,284.0,4.0,0.0,0.0,Staden,West Flanders,Flanders,Large
320000,4400,HOUSE,HOUSE,JUST_RENOVATED,4,110.0,0,1.0,1.0,696.0,3.0,0.0,0.0,Flémalle,Liège,Wallonia,Large
299000,9300,APARTMENT,APARTMENT,GOOD,2,100.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Aalst,East Flanders,Flanders,Medium
380000,3730,APARTMENT,APARTMENT,AS_NEW,3,121.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Hoeselt,Limburg,Wallonia,Large
90000,4020,APARTMENT,APARTMENT,TO_RENOVATE,2,86.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Liège,Liège,Wallonia,Medium
539000,9473,HOUSE,HOUSE,AS_NEW,3,234.0,0,1.0,1.0,375.0,3.0,0.0,0.0,Denderleeuw,East Flanders,Flanders,Very Large
498500,1420,HOUSE,HOUSE,JUST_RENOVATED,3,176.0,1,1.0,1.0,414.0,2.0,0.0,0.0,Braine-l'Alleud,Walloon Brabant,Wallonia,Large
240000,1300,APARTMENT,APARTMENT,AS_NEW,2,88.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Wavre,Walloon Brabant,Wallonia,Medium
380000,1160,APARTMENT,GROUND_FLOOR,AS_NEW,2,80.0,0,1.0,0.0,0.0,3.0,0.0,0.0,Auderghem,Brussels Capital,Bruxelles-Capital,Medium
369000,2620,HOUSE,HOUSE,GOOD,4,157.0,0,0.0,1.0,287.0,3.0,0.0,0.0,Hemiksem,Antwerp,Flanders,Large
449000,9050,HOUSE,HOUSE,GOOD,2,120.0,0,1.0,1.0,68.0,2.0,0.0,0.0,Gent,East Flanders,Flanders,Large
470000,9500,HOUSE,HOUSE,GOOD,3,215.0,0,1.0,0.0,546.0,3.0,0.0,0.0,Geraardsbergen,East Flanders,Flanders,Very Large
479000,8300,APARTMENT,APARTMENT,GOOD,2,72.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Knokke-Heist,West Flanders,Flanders,Medium
467500,2600,APARTMENT,APARTMENT,GOOD,3,167.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp,Flanders,Large
399000,9040,APARTMENT,APARTMENT,GOOD,3,137.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Gent,East Flanders,Flanders,Large
258000,9140,HOUSE,HOUSE,AS_NEW,4,152.0,0,0.0,0.0,50.0,4.0,0.0,0.0,Temse,East Flanders,Flanders,Large
387468,9940,APARTMENT,GROUND_FLOOR,GOOD,2,120.0,0,1.0,0.0,0.0,4.0,0.0,1.0,Evergem,East Flanders,Flanders,Large
499000,1050,APARTMENT,DUPLEX,GOOD,3,133.0,1,0.0,0.0,0.0,3.0,0.0,1.0,Ixelles,Brussels Capital,Bruxelles-Capital,Large
452900,2000,APARTMENT,APARTMENT,AS_NEW,2,125.0,0,1.0,0.0,0.0,2.0,0.0,0.0,Antwerpen,Antwerp,Flanders,Large
367500,2600,APARTMENT,APARTMENT,GOOD,2,95.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp,Flanders,Medium
280000,1932,APARTMENT,APARTMENT,GOOD,2,86.0,0,1.0,0.0,0.0,4.0,1.0,1.0,Zaventem,Flemish Brabant,Flanders,Medium
200000,4500,APARTMENT,APARTMENT,GOOD,3,144.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Huy,Liège,Wallonia,Large
349065,2230,APARTMENT,APARTMENT,GOOD,2,117.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Herselt,Antwerp,Flanders,Large
230000,1180,APARTMENT,APARTMENT,TO_BE_DONE_UP,1,68.0,0,0.0,0.0,0.0,2.0,0.0,0.0,Uccle,Brussels Capital,Bruxelles-Capital,Medium
660000,8400,APARTMENT,APARTMENT,AS_NEW,3,117.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Oostende,West Flanders,Flanders,Large
128000,2370,APARTMENT,SERVICE_FLAT,AS_NEW,1,59.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Arendonk,Antwerp,Flanders,Medium
